name:,price:,discounted_price:,psn_price:,psn_old_price:,rating:,rating_count:,situation:,Collection Date:,Platform:,Release:,Genres:,Publisher:,Voice:,Screen Languages:,PS5 Voice:,PS5 Screen Languages:,PS4 Voice:,PS4 Screen Languages:,Link:
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,"1.159,99 TL","2.899,99 TL",Game Trial,,3.33,98k ratings,Add to Cart,10/02/2025,"PS4, PS5",19/9/2024,Sport,EA Swiss Sarl,,,"Arabic, Chinese, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Czech, English, Polish, Russian, Turkish","English, French (France)","Czech, English, Polish, Russian, Turkish",https://store.playstation.com/en-tr/concept/10009762
Kingdom Come: Deliverance II Gold Edition,"3.149,00 TL",,,,4.64,4.8k ratings,Add to Cart,10/02/2025,PS5,4/2/2025,Role Playing Games,Deep Silver,"Czech, English, French (France), German, Spanish","Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Turkish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/10006210
Fortnite,Free,,,,4.32,7m ratings,Add to Library,10/02/2025,PS5,21/7/2017,"Action, Adventure",Epic Games Inc.,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/228748
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,"1.959,30 TL","2.799,00 TL",,,3.97,506k ratings,Add to Cart,10/02/2025,"PS4, PS5",24/10/2024,Action,Activision Blizzard Int'l BV,"English, French (France), German, Italian, Polish, Russian, Spanish","English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10001130
Grand Theft Auto Online (PlayStation®5),"222,71 TL",,,,4.49,783k ratings,Add to Cart,10/02/2025,PS5,14/3/2022,"Adventure, Action",Rockstar Games,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/201930
NBA 2K25 Standard Edition,"2.900,00 TL",,Game Trial,,3.15,18k ratings,Add to Cart,10/02/2025,"PS4, PS5",4/9/2024,Sport,2K,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",,,,,https://store.playstation.com/en-tr/concept/10010481
It Takes Two PS4™ & PS5™,"374,99 TL","1.499,99 TL",Included,"1.499,99 TL",4.49,97k ratings,Add to Cart,10/02/2025,"PS4, PS5",25/3/2021,Unique,EA Swiss Sarl,,,English,"English, French (France), German, Italian, Spanish",English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",https://store.playstation.com/en-tr/concept/234689
ASTRO BOT,"2.124,15 TL","2.499,00 TL",,,4.86,43k ratings,Add to Cart,10/02/2025,PS5,5/9/2024,Action,Sony Interactive Entertainment Europe,,"Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish, Ukrainian, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10002684
eFootball™,Free,,,,3.78,399k ratings,Add to Library,10/02/2025,PS5,30/9/2021,Sport,Konami,"Arabic, English, French (France), German, Italian, Portuguese (Portugal), Spanish","Arabic, English, French (France), German, Italian, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/10002427
Red Dead Redemption 2,"758,67 TL","2.299,00 TL",,,4.73,329k ratings,Add to Cart,10/02/2025,PS4,25/10/2018,"Unique, Adventure, Action",Rockstar Games,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/209441
