FATAL FURY: City of the Wolves - Special Edition,"2.099,00 TL",,,,,,Pre-Order,10/30/2024,PS5,24/4/2025,Fighting,SNK CORPORATION,,,https://store.playstation.com/en-tr/concept/10009499
Monster Hunter Wilds,"2.799,00 TL",,,,,,Pre-Order,10/30/2024,PS5,27/2/2025,Action,CE EUROPE LIMITED,,,https://store.playstation.com/en-tr/concept/10005176
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars PS4 & PS5,"1.749,00 TL",,,,,,Pre-Order,10/30/2024,PS5,5/3/2025,Role Playing Games,Konami Digital Entertainment Co.,,,https://store.playstation.com/en-tr/concept/10004292
Stories from Sol: The Gun-Dog,,,,,,,,10/30/2024,,20/2/2025,Adventure,Astrolabe Games,,,https://store.playstation.com/en-tr/concept/10009382
Tomb Raider IV-VI Remastered PS4 & PS5,"1.049,00 TL",,"944,10 TL","1.049,00 TL",,,Pre-Order,10/30/2024,PS5,14/2/2025,Action,"ASPYR MEDIA, INC",,,https://store.playstation.com/en-tr/concept/10009064
Kingdom Come: Deliverance II Gold Edition,"3.149,00 TL",,,,,,Pre-Order,10/30/2024,PS5,11/2/2025,Role Playing Games,Deep Silver,,,https://store.playstation.com/en-tr/concept/10006210
Sid Meier's Civilization® VII,"2.499,00 TL",,,,,,Pre-Order,10/30/2024,PS5,10/2/2025,Strategy,2K,,,https://store.playstation.com/en-tr/concept/10003168
Sniper Elite: Resistance,"2.099,00 TL",,,,,,Pre-Order,10/30/2024,PS5,31/1/2025,"Shooter, Action",Rebellion,,,https://store.playstation.com/en-tr/concept/10008716
Star Wars™: Episode I: Jedi Power Battles™ PS4 & PS5,"699,00 TL",,"629,10 TL","699,00 TL",,,Pre-Order,10/30/2024,PS5,23/1/2025,"Action, Action","ASPYR MEDIA, INC",,,https://store.playstation.com/en-tr/concept/10008489
SYNDUALITY Echo of Ada,"1.399,00 TL",,,,,,Pre-Order,10/30/2024,PS5,22/1/2025,"Action, Shooter",BANDAI NAMCO ENTERTAINMENT EUROPE,,,https://store.playstation.com/en-tr/concept/10004816
Tales of Graces™f Remastered,"1.399,00 TL",,,,,,Pre-Order,10/30/2024,PS5,16/1/2025,"Role Playing Games, Action",BANDAI NAMCO ENTERTAINMENT EUROPE,,,https://store.playstation.com/en-tr/concept/10009737
Ys Memoire: The Oath in Felghana,Announced,,,,,,,10/30/2024,,6/1/2025,Role Playing Games,Marvelous Europe Limited,,,https://store.playstation.com/en-tr/concept/10007319
Metal: Hellsinger VR,"1.049,00 TL",,,,4.69,71 ratings,Add to Cart,10/30/2024,PS5,3/10/2024,"Shooter, Action, Music/Rhythm",Funcom Oslo AS,English,,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Ukrainian",https://store.playstation.com/en-tr/concept/10010811
Penny’s Big Breakaway,Free,,"692,34 TL","1.049,00 TL",4.28,567 ratings,Add to Library,10/30/2024,PS5,21/2/2024,Action,TAKE-TWO INTERACTIVE SOFTWARE UK,,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish",https://store.playstation.com/en-tr/concept/10005042
Rooftop Rascal: The Midnight Cat,"69,00 TL",,,,3.93,29 ratings,Add to Cart,10/30/2024,PS5,12/8/2024,Casual,Christian Marcell de Oliveira trading as chroda,,,English,https://store.playstation.com/en-tr/concept/10011776
Scott Whiskers in: the Search for Mr. Fumbleclaw,"525,00 TL",,,,3.87,30 ratings,Add to Cart,10/30/2024,PS5,20/3/2024,"Adventure, Puzzle",Axel Friedrich trading as Fancy Factory,"English, German",,"English, German",https://store.playstation.com/en-tr/concept/10005760
Shadow Tactics: Aiko's Choice,"699,00 TL",,"629,10 TL","699,00 TL",,,Pre-Order,10/30/2024,PS5,6/12/2024,Strategy,Daedalic Entertainment GmbH,,,https://store.playstation.com/en-tr/concept/10009142
Speed Crew,"699,00 TL",,,,4.3,47 ratings,Add to Cart,10/30/2024,"PS4, PS5",31/1/2024,"Arcade, Party, Strategy",Wild Fields Ltd.,English,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Portuguese (Portugal), Spanish, Ukrainian",https://store.playstation.com/en-tr/concept/10008470
Willy's Wonderland - The Game,"140,00 TL","175,00 TL",,,3.81,98 ratings,Add to Cart,10/30/2024,"PS4, PS5",13/6/2024,Action,QUBYTE,,,English,https://store.playstation.com/en-tr/concept/10005820
Alien: Rogue Incursion,"1.399,00 TL",,,,,,Pre-Order,10/30/2024,PS5,19/12/2024,"Shooter, Horror, Action","Survios, Inc.",,,https://store.playstation.com/en-tr/concept/10004478
FAIRY TAIL 2 (PS4 & PS5),"2.499,00 TL",,,,,,Pre-Order,10/30/2024,PS5,12/12/2024,Role Playing Games,Koei Tecmo Europe Ltd,,,https://store.playstation.com/en-tr/concept/10011532
Legacy of Kain™ Soul Reaver 1&2 Remastered PS4 & PS5,"1.049,00 TL",,"944,10 TL","1.049,00 TL",,,Pre-Order,10/30/2024,PS5,10/12/2024,Action,"ASPYR MEDIA, INC",,,https://store.playstation.com/en-tr/concept/10009063
Honey Farm Simulator,Announced,,,,,,,10/30/2024,,5/12/2024,"Casual, Simulation",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012533
FANTASIAN Neo Dimension,"2.099,00 TL",,,,,,Pre-Order,10/30/2024,PS5,4/12/2024,Role Playing Games,Square Enix LTD,,,https://store.playstation.com/en-tr/concept/10010526
Hunt and Fight: Action RPG,"525,00 TL",,"420,00 TL","525,00 TL",,,Pre-Order,10/30/2024,PS5,5/11/2024,"Role Playing Games, Action",Two Cakes Studio OÜ,,,https://store.playstation.com/en-tr/concept/10011714
Let's Sing 2025,Announced,,,,,,,10/30/2024,,11/2024,Music/Rhythm,PLAION,,,https://store.playstation.com/en-tr/concept/10010007
Neon Blood,Announced,,,,,,,10/30/2024,,25/11/2024,"Adventure, Role Playing Games",Meridiem Games S.L,,,https://store.playstation.com/en-tr/concept/10005127
Starship Troopers: Continuum,"629,00 TL",,"566,10 TL","629,00 TL",,,Pre-Order,10/30/2024,PS5,25/11/2024,Shooter,Sony Pictures Virtual Reality (SPVR),,,https://store.playstation.com/en-tr/concept/10008747
Motocross Ramp Madness,Announced,,,,,,,10/30/2024,,22/11/2024,"Casual, Driving/Racing",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012451
Project 13: Taxidermy Trails,Announced,,,,,,,10/30/2024,,22/11/2024,Casual,Dolores Entertainment S.L.,,,https://store.playstation.com/en-tr/concept/10012535
AMEDAMA,,,,,,,,10/30/2024,,20/11/2024,Action,"IZANAGIGAMES, Inc.",,,https://store.playstation.com/en-tr/concept/10012559
Predecessor,Free,,,,4.33,6.8k ratings,Add to Library,10/30/2024,PS5,28/3/2024,"Action, Strategy",Omeda Studios Limited,English,,"Chinese (Simplified), English, French (France), German, Italian, Portuguese (Brazil), Spanish (Mexico)",https://store.playstation.com/en-tr/concept/10003763
Farming Simulator 25,"2.099,00 TL",,,,,,Pre-Order,10/30/2024,PS5,12/11/2024,Simulator,GIANTS SOFTWARE GMBH,,,https://store.playstation.com/en-tr/concept/10009612
Touhou Spell Carnival,Announced,,,,,,,10/30/2024,,18/11/2024,Role Playing Games,Reef Entertainment,,,https://store.playstation.com/en-tr/concept/10009134
