Title,Description,Genre Labels,Release Date,Developers,Publishers,Review Status Monthly,Review Count Monthly,Review Description Monthly,Review Status Total,Review Count Total,Review Description Total,Original Price,Discount Final Price,Discounted Price,Discount Percentage,PEGI,Metacritic Score,Languages,link,steamdb_url,Owner estimations by VG Insights,Owner estimations by Gamalytic,Owner estimations by PlayTracker,Owner estimations by SteamSpy
10 Miles To Safety,The Apocalypse has arrived and your goal is simple: Make it 10 miles to safety through a limitless procedurally-generated world overrun with The Infected and packed with the tools and weapons to fight them.,"Strategy, Action, Indie, Zombies, Action Roguelike, Top-Down, Top-Down Shooter, Violent, Gore, Online Co-Op, Survival, Post-apocalyptic, Loot, Isometric, Co-op, Roguelite, Multiplayer, Procedural Generation","21 Oct, 2020",['Trickjump Games'],['Trickjump Games'],Mostly Positive,853,- 73% of the 853 user reviews for this game are positive.,Mostly Positive,853,- 73% of the 853 user reviews for this game are positive.,$8.99 USD,none,No discount,No discount,NONE,No score available,['English'],https://store.steampowered.com/app/1015140/10_Miles_To_Safety/,https://steamdb.info/app/1015140/charts/,29100,49700,95200,188000
Could not be taken from Steam,No description available,['Unknown'],none,none,NONE,No score available,['Unknown'],https://store.steampowered.com/app/341940/Hatred/,https://steamdb.info/app/341940/charts/,687800,914300,986000,2020000
Intravenous 2,Intravenous 2 is the ultimate blend of tactical gameplay and immersive storytelling. Will you embrace the shadows or confront your foes head-on? The choice is yours. Experience a new era of tactical stealth action. Save lives. Uncover secrets. Take vengeance.,"Tactical, Shooter, Stealth, Realistic, Singleplayer, Action, Gun Customization, Violent, Combat, Crime, Gore, Top-Down Shooter, 2D, Action-Adventure, Difficult, Top-Down, Story Rich, Immersive Sim, Pixel Graphics, Simulation","15 Aug, 2024",['Explosive Squat Games'],['HypeTrain Digital'],Very Positive,167,- 91% of the 167 user reviews in the last 30 days are positive.,Overwhelmingly Positive,1831,"- 95% of the 1,831 user reviews for this game are positive.",$10.49,none,$7.34 USD,-30%,NONE,No score available,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Portuguese - Brazil']",https://store.steampowered.com/app/2608270/Intravenous_2/,https://steamdb.info/app/2608270/charts/,61600,83500,103000,127100
Could not be taken from Steam,No description available,['Unknown'],none,none,NONE,No score available,['Unknown'],https://store.steampowered.com/app/341940/Hatred/,https://steamdb.info/app/341940/charts/,687800,914300,986000,2020000
Police Stories,"A fresh take on top-down shooters with an emphasis on tactics that forces you to make split second decisions. Neutralize criminals, rescue civilians and defuse bombs in Single Player mode or Co-op. And remember - shooting first is not an option!","Action, Strategy, Simulation, Co-op, Villain Protagonist, Tactical, Top-Down Shooter, Shooter, Multiplayer, Pixel Graphics, Online Co-Op, 2D, Indie, Singleplayer, Crime, Realistic, Atmospheric, Violent, Gore, Difficult","19 Sep, 2019",['HypeTrain Digital'],['HypeTrain Digital'],Mostly Positive,90,- 76% of the 90 user reviews in the last 30 days are positive.,Very Positive,6998,"- 85% of the 6,998 user reviews for this game are positive.",$12.99 USD,none,No discount,No discount,NONE,75,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Polish', 'Spanish - Latin America']",https://store.steampowered.com/app/539470/Police_Stories/,https://steamdb.info/app/539470/charts/,2,223200,408000,717000,1440000
RUINER,RUINER is a brutal action shooter set in the year 2091 in the cyber metropolis Rengkok. A wired psychopath lashes out against a corrupt system to uncover the truth and retrieve his kidnapped brother under the guidance of a secretive hacker friend.,"Cyberpunk, Action, Top-Down Shooter, Great Soundtrack, Indie, Violent, Twin Stick Shooter, Gore, Isometric, Atmospheric, Difficult, Singleplayer, Sci-fi, Shooter, Top-Down, Dystopian, Hack and Slash, Third Person, Fast-Paced, Open World","26 Sep, 2017",['Reikon Games'],['Devolver Digital'],Very Positive,37,- 83% of the 37 user reviews in the last 30 days are positive.,Very Positive,9417,"- 89% of the 9,417 user reviews for this game are positive.",$10.49,none,$2.09 USD,-80%,NONE,75,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Russian', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Czech', 'Ukrainian', 'Italian', 'Turkish']",https://store.steampowered.com/app/464060/RUINER/,https://steamdb.info/app/464060/charts/,469500,730000,744000,2009999
Kill The Crows,"""Kill The Crows"" is a fast-paced top-down arena shooter set in the twisted western world. A gunslinger burning with vengeance steps into the ruins of a forsaken town, ready to face death. Prepare for one-shot, one-kill gunfights using classic revolvers and fanning techniques.","Action, Western, Arcade, Female Protagonist, Top-Down Shooter, Pixel Graphics, Arena Shooter, Bullet Time, Score Attack, 2D, Atmospheric, Dark Fantasy, Post-apocalyptic, Twin Stick Shooter, Shoot 'Em Up, Beat 'em up, Shooter, Indie, Top-Down, Singleplayer","20 Aug, 2023",['5minlab Corp.'],['5minlab Corp.'],Very Positive,73,- 98% of the 73 user reviews in the last 30 days are positive.,Very Positive,1787,"- 94% of the 1,787 user reviews for this game are positive.",$2.99 USD,none,No discount,No discount,16,No score available,"['English', 'Korean', 'German', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",https://store.steampowered.com/app/2441270/Kill_The_Crows/,https://steamdb.info/app/2441270/charts/,55500,55500,92200,94000
Son of a Gun,"A retro-inspired, action packed, twin-stick shooter full of bullets, blood and explosions. Collect and manage your guns to exterminate jungle zombies, swarming bugs, heavy robots, slimy monsters and even space ghosts.","Action, Top-Down Shooter, Shoot 'Em Up, Arcade, Shooter, Twin Stick Shooter, 2D, Cartoony, Hand-drawn, Top-Down, Aliens, Destruction, Futuristic, Military, Old School, Retro, Robots, Sci-fi, Space, Zombies","22 Oct, 2024",['Crank Goblin'],"['Untold Tales', 'Gamersky Games']",Very Positive,60,- 90% of the 60 user reviews for this game are positive.,Very Positive,60,- 90% of the 60 user reviews for this game are positive.,$6.29,none,$2.83 USD,-55%,NONE,No score available,"['English', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'French', 'German', 'Spanish - Spain', 'Polish', 'Spanish - Latin America', 'Turkish', 'Ukrainian']",https://store.steampowered.com/app/2288600/Son_of_a_Gun/,https://steamdb.info/app/2288600/charts/,810,2800,3000,5200
Section 13,"Unravel a thrilling sci-fi mystery in this action-packed twin-stick roguelite shooter. Select your load-out, stack up temporary and persistent upgrades, and delve into the depths of a sinister, shifting, subterranean base in the midst of an interdimensional crisis.","Early Access, Dark, Top-Down Shooter, Action Roguelike, Zombies, Twin Stick Shooter, Roguelite, Shooter, PvE, Adventure, Survival, Singleplayer, Combat, Action, Atmospheric, Roguelike, Co-op, Top-Down, 3D, Supernatural","19 Jul, 2023","['Ocean Drive Studio, Inc.']","['Ocean Drive Studio, Inc.', 'Kakao Games']",Mixed,489,- 69% of the 489 user reviews for this game are positive.,Mixed,489,- 69% of the 489 user reviews for this game are positive.,$7.29 USD,none,No discount,No discount,NONE,No score available,"['English', 'Korean', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",https://store.steampowered.com/app/2111870/Section_13/,https://steamdb.info/app/2111870/charts/,17600,17700,30000,31600
Darkwood,"Darkwood - a new perspective on survival horror. Scavenge and explore a rich, ever-changing free-roam world by day, then hunker down in your hideout and pray for the morning light.","Horror, Survival Horror, Top-Down, Survival, Atmospheric, Dark, Indie, Open World, Singleplayer, Lovecraftian, Exploration, RPG, Adventure, Crafting, Psychological Horror, Inventory Management, Action, Gore, Building, Roguelike","17 Aug, 2017",['Acid Wizard Studio'],['Acid Wizard Studio'],Overwhelmingly Positive,196,- 98% of the 196 user reviews in the last 30 days are positive.,Overwhelmingly Positive,18711,"- 95% of the 18,711 user reviews for this game are positive.",$7.99 USD,none,No discount,No discount,NONE,80,"['English', 'Polish', 'Russian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Italian', 'Simplified Chinese', 'Turkish', 'Hungarian', 'French']",https://store.steampowered.com/app/274520/Darkwood/,https://steamdb.info/app/274520/charts/,691300,1290000,1340000,2600000
